"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Alameda County","CA","San Francisco-Oakland-Hayward","06","001",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3900,3700,3295,3224,3290,3197.5,3250,3000,3000,3250,3600,3700,3600,3800,3595,3500,3500,3333,3250,3200,3445,3600,3500,3800,3600,3737.5,3497.5,3495,3460,3210,3150
"Middlesex County","MA","Boston-Cambridge-Newton","25","017",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3875,4000,4000,4000,3900,3600,3700,3500,3500,3500,3500,3700,4000,4200,4200,3995,3920,3750,4000,4000,3950,4000,4300
"Sacramento County","CA","Sacramento--Roseville--Arden-Arcade","06","067",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670,1685,1695,1695,1672.5,1695,1725,1695,1745,1695,1695,1695,1695,1700,1695,1675,1695,1775,1795,1795,1750,1795,1795,1795,1795,1822.5,1800,1800,1795,1695,1895,1920,1920,1855,1800,1895,1850,1797.5,1895,1895,1995,1935,1950,1995,1972.5,1895,1895,1899.5,1995,1845,1995,2125,1885,2047.5,2200,2147.5,2200,2200,2250,2239,2195,2087.5,2200,2295,2162.5,2295,2300,2300,2200,2200,2200,2197.5,2297.5,2350
"Nassau County","NY","New York-Newark-Jersey City","36","059",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,3900,3800,3950,4400,4500,3950,4300,4150,4500,4300,4000,3800,3825,3800,3900,3985,3900,3700
"Cuyahoga County","OH","Cleveland-Elyria","39","035",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1050,950,1000,1000,1150,1100,1100,1100,1100,1000,1100,995,950,900,995,1100,1200,1100,1100,1085,1100,1050,1100,1087.5,1100,1075
"Hillsborough County","FL","Tampa-St. Petersburg-Clearwater","12","057",24,,,,,,,,,,,,,2200,2100,2000,2200,2200,2200,2200,2200,2100,2000,2000,1950,1900,1995,1900,2000,2000,1995,2195,2200,2125,2137.5,1995,2000,2100,2000,2100,2000,1995,1995,2100,2000,2000,1995,2000,1995,1995,1995,1995,2100,2075,2100,2100,2050,2000,2000,2000,2000,2095,2072.5,2150,2150,2195,2112.5,2195,2195,2125,2012.5,2050,2160,2100,2150,2120,2100,2250,2195,2300,2225,2049,2400,2150,2222.5,2197.5,2200,2200,2300,2200,2175,2197.5,2200,2200,2225,2195,2250,2242.5,2200,2225,2275,2250,2350,2322.5,2200,2195,2200,2200,2200
"Allegheny County","PA","Pittsburgh","42","003",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1200,1295,1210,1200,1372.5,1200,1050,1125,1225,1060,1165,1110,1195,1250,1200,1195,1197.5,1250,1095,1100,1195,1200,1187.5,1195,1200,1224.5,1272.5,1200,1200,1192.5,1195,1200,1300,1200,1250,1312.5,1222.5,1299,1300,1200,1200,1250,1350,1400,1400,1400,1500
"Orange County","FL","Orlando-Kissimmee-Sanford","12","095",26,,,,,,,,,,,,,,,1800,1897.5,1900,1850,1912.5,1920,1999.5,2295,2300,2199,1850,1900,1899,1872.5,1985,2025,1987.5,2000,1950,1950,1995,1895,1900,1900,1950,1999,1999,1997,1975,1995,1962.5,1900,1995,1975,1900,1900,1900,2000,2000,1997,2000,2000,2000,2000,2000,1950,1995,2000,2000,2025,2100,2130,2100,2050,2050,2050,2100,2112.5,2150,2150,2175,2200,2150,2150,2250,2200,2285,2100,2195,2250,2300,2265,2300,2300,2300,2350,2300,2250,2285,2347.5,2350,2325,2300,2400,2350,2475,2450,2400,2400,2400,2400,2372.5,2300,2400
"Fairfax County","VA","Washington-Arlington-Alexandria","51","059",27,,,,,,,,,,,,,2897.5,3100,3290,3487,3500,3500,3750,3325,3200,3100,3250,3200,3200,3191.5,3200,3500,3497.5,3500,3500,3400,3350,3100,3250,3200,3450,3400,3299.5,3725,3700,3500,3800,3525,3300,3225,3095,3200,3350,3300,3485,3500,3500,3500,3488,3300,3325,3500,3400,3300,3275,3287.5,3400,3300,3300,3500,3475,3400,3300,3260,3500,3350,3300,3300,3375,3400,3500,3400,3475,3450,3400,3472.5,3200,3425,3400,3500,3500,3500,3500,3500,3550,3500,3300,3300,3300,3325,3400,3500,3500,3500,3600,3547.5,3500,3450,3400,3400,3200,3400
"Contra Costa County","CA","San Francisco-Oakland-Hayward","06","013",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3400,3200,3400,3300,3285,3200,3500,3445,3498,3450,3400,3250,3495,3800,3545,3500
