"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Johnson County","KS","Kansas City","20","091",101,,,,,,,,,,,,,,,,,,1850,1750,1750,1650,1600,1695,1695,1637.5,1725,1850,1850,1850,1795,1795,1795,1725,1795,1600,1795,1799,1799.5,1800,1850,1795,1795,1795,1750,1795,1800,1795,1750,1750,1750,1750,1850,1850,1850,1850,1850,1800,1800,1797.5,1795,1795,1800,1850,1950,1912.5,1950,1950,1895,1899,1975,1950,1850,1897,1845,1895,1800,1895,1895,1825,1895,1845,1800,1850,1845,1850,1850,1900,1950,1950,1950,1950,1897,1895,1895,1895,1850,1897,1925,1950,1975,1925,1950,1900,1895,1850,1845,1800,1795
"Brevard County","FL","Palm Bay-Melbourne-Titusville","12","009",102,,,,,,1350,1350,1300,1362.5,1300,1350,1397.5,1400,1400,1500,1450,1500,1475,1425,1400,1450,1462.5,1495,1400,1500,1525,1500,1470,1500,1500,1500,1437.5,1500,1500,1500,1467.5,1500,1500,1500,1495,1450,1500,1470,1450,1495,1495,1500,1500,1495,1500,1500,1595,1600,1595,1600,1500,1600,1600,1650,1650,1700,1725,1685,1672.5,1650,1650,1700,1700,1700,1700,1650,1695,1697.5,1700,1600,1650,1700,1650,1700,1700,1600,1750,1650,1712.5,1722.5,1800,1900,1985,1825,1802.5,1850,1800,1800,1800,1877.5,1850,1800,1950,1950,1950,1972.5,2000,1900,1900,1800,1812.5,1825,1850
"Summit County","OH","Akron","39","153",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1100,960,1100,960,900,900,915,995,995,995,947.5,950,950,928,942.5,950,937,950,900,951.5,950,850,875,850,895,850,850,862.5,925,900
"New Castle County","DE","Philadelphia-Camden-Wilmington","10","003",104,,,,,,,,,,,,,,,,,1672.5,1800,1800,1800,1800,1850,1900,1800,1800,1800,1800,1850,1825,1800,1799,1800,1850,1700,1800,1800,1800,1650,1750,1750,1800,1850,1825,1795,1800,1800,1800,1799.5,1600,1600,1650,1800,1700,1799,1800,1850,1850,1787.5,1762.5,1800,1900,1750,1775,1887.5,1885,1850,1800,1800,1700,1650,1750,1787.5,1850,1850,1900,1775,1800,1800,1762.5,1787,1800,1800,1635,1700,1697.5,1700,1800,1775,1799.5,1800,1795,1800,1800,1750,1750,1700,1725,1800,1815,1825,1925,1972.5,1975,1795,1800,1750,1800,1800
"Montgomery County","OH","Dayton","39","113",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1324.5,1447.5,1410,1362.5,1235,1295,1290,1200,1295,1362.5,1275,1200,1275,1225,1250,1375,1162.5,1200,1200,1200
"Jefferson County","CO","Denver-Aurora-Lakewood","08","059",106,,,,,,,,,,,,,,,,,,,,,,,,2000,2075,2175,2150,1795,1775,1725,1695,1650,1700,1750,1725,2000,2000,2100,1995,1900,1795,1695,1897.5,1997.5,1960,1900,1800,1800,1850,1862.5,1800,1850,2000,1997.5,1850,1997.5,2300,2200,1995,1929,2075,2175,2100,2225,2200,2200,2200,2300,2249,2200,2300,2295,2300,2200,2300,2372.5,2400,2250,2500,2200,2200,2100,2100,2100,2200,2222,2397.5,2350,2325,2295,2200,2200,2200,2200,2295,2200,2225,2400,2425,2500,2308.5,2395,2400,2375,2349.5,2350,2395,2497.5
"Washington County","OR","Portland-Vancouver-Hillsboro","41","067",107,,,,,,,,,,,,,,,,1625,1695,1700,1650,1595,1650,1725,1699.5,1697,1750,1824.5,1950,1797.5,1775,1795,1795,1595,1695,1695,1682.5,1695,1612.5,1695,1695,1795,1897.5,1895,1895,1850,1850,1887.5,1850,1795,1800,1795,1795,1895,1895,1985,1995,1995,1895,1800,1850,1950,1947.5,1949,1950,1995,1997.5,2150,2250,2205,1997.5,1995,1995,2095,2095,1997.5,2250,2199.5,2297.5,2225,2200,2250,2095,1997,1995,2295,2197,2200,2300,2395,2395,2395,2295,2200,2195,2195,2195,2195,2195,2250,2222.5,2300,2295,2300,2345,2295,2262.5,2200,2250,2295
"Lancaster County","PA","Lancaster","42","071",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1095,1100,1195,995,1100,1125,1137.5,1200,1175,1175,1197.5,1100,1200,1100,1175,1100,1200,1200,1200,1200,1162.5,1195,1350,1320
"Kane County","IL","Chicago-Naperville-Elgin","17","089",109,,,,,,,,,,,,,,,,,,2175,2100,2075,2000,1975,1925,1975,1965,1955,1862.5,1887.5,2000,2000,1900,1900,1862.5,1799,1900,1900,1895,1975,1895,1975,1962.5,2122.5,2024.5,2000,2000,1912.5,1995,1969.5,1899.5,1900,1899,1872.5,1950,2100,2074.5,1950,1975,1962.5,1995,2100,2200,2250,2125,2050,2050,2100,2150,2050,1999.5,1999.5,2000,2049.5,1997.5,2140,2047.5,2045,2200,2125,1982,1997.5,2095,2047.5,1999,2000,2049.5,2008,2044.5,2000,2100,2226.5,2150,2185,2200,2075,1950,1900,1845,1900,1995,2300,2225,2075,2200,2250,2172.5,2075,2100,2095
"Stanislaus County","CA","Modesto","06","099",110,,,,,,,,,,,,1325,1375,1350,1295,1295,1347.5,1325,1350,1350,1347.5,1350,1395,1297.5,1295,1335,1297.5,1295,1295,1367.5,1450,1312.5,1350,1395,1350,1345,1350,1345,1300,1300,1300,1300,1350,1397.5,1395,1395,1450,1397.5,1395,1395,1395,1400,1399,1400,1420,1425,1397.5,1395,1472.5,1450,1495,1425,1450,1450,1562.5,1495,1495,1500,1512.5,1585,1595,1645,1510,1650,1572.5,1650,1472.5,1600,1650,1650,1550,1695,1595,1650,1695,1725,1697,1725,1775,1772.5,1797.5,1695,1795,1725,1750,1795,1785,1800,1850,1850,1900,1897.5,1937.5,1925,1900,1900,1900,1895
