"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"California",1,,2500,2500,2500,2500,2500,2500,2400,2375,2362.5,2400,2000,2050,2050,2100,2095,2000,1995,1950,1900,1895,1850,1850,1805,1850,1900,1840,1800,1850,1800,1800,1800,1795,1795,1750,1750,1750,1775,1750,1750,1780.5,1800,1750,1849.5,1850,1797,1850,1850,1800,1800,1800,1995,1995,2000,2000,2000,2000,2050,2080,2100,2100,2100,2200,2235,2290,2295,2300,2300,2295,2300,2300,2300,2375,2400,2400,2400,2404,2500,2400,2439,2395,2400,2350,2483,2500,2600,2650,2700,2700,2750,2750,2700,2700,2680,2695,2700,2700,2750,2800,2800,2830,2841.5,2850,2800,2795,2800,2800,2800
"Texas",2,1200,1200,1300,1250,1275,1300,1300,1250,1250,1250,1250,1250,1200,1200,1200,1250,1250,1200,1195,1195,1175,1195,1195,1200,1200,1210,1200,1200,1208.5,1200,1200,1200,1195,1224.5,1232,1250,1235,1250,1250,1280,1250,1295,1270,1275,1275,1295,1295,1295,1269,1269,1295,1325,1350,1350,1350,1350,1345,1335,1345,1350,1350,1375,1395,1400,1400,1400,1400,1395,1395,1400,1395,1399,1400,1445,1450,1450,1435,1449,1431.5,1415,1400,1400,1395,1419,1450,1450,1495,1500,1500,1500,1495,1495,1450,1450,1450,1475,1495,1500,1500,1510,1545,1545,1525,1500,1500,1500,1500,1500
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,2700,2700,2700,2700,2750,2750,2800,2800,2800,2850,2900,2850,2800,2800,2800,2799,2800,2850,2950,2995,2995,2900,2995,3000,3000,2995,2700,2700,2599,2600,2700,2799,2800,2800,2775,2795,2650,2600,2600,2500,2550,2577.5,2695,2795,2795,2799,2750,2650,2600,2595,2500,2500
"Florida",4,,1450,1500,1450,1550,1300,1300,1350,1350,1350,1400,1425,1500,1495,1500,1500,1500,1500,1500,1500,1500,1495,1495,1450,1495,1500,1500,1500,1500,1500,1500,1495,1495,1500,1450,1405,1450,1495,1500,1497,1475,1525,1500,1550,1600,1600,1600,1600,1550,1525,1525,1600,1599,1600,1595,1600,1585,1550,1525,1500,1550,1595,1585,1600,1600,1649,1650,1639,1650,1650,1650,1680,1700,1750,1700,1700,1700,1668,1615,1650,1650,1750,1600,1660,1700,1700,1750,1758,1775,1795,1800,1800,1800,1800,1800,1800,1800,1845,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850
"Illinois",5,1600,1600,1600,1500,1500,1600,1600,1600,1650,1650,1600,1575,1600,1627,1700,1750,1675,1695,1695,1650,1600,1525,1500,1500,1595,1600,1575,1575,1600,1600,1600,1595,1595,1500,1540,1500,1525,1600,1575,1625,1625,1695,1625,1600,1600,1599,1600,1575,1575,1595,1600,1699,1765,1800,1700,1700,1675,1600,1575,1585,1600,1675,1700,1750,1750,1790,1719,1700,1685,1700,1629,1600,1650,1650,1700,1750,1800,1800,1750,1700,1625,1599,1595,1595,1600,1695,1800,1850,1875,1850,1800,1775,1700,1680.5,1675,1695,1725,1800,1890,1900,1950,1950,1895,1800,1800,1800,1795,1786
"Pennsylvania",6,1350,1390,1450,1425,1350,1350,1350,1362,1350,1350,1300,1225,1250,1295,1350,1350,1300,1300,1300,1295,1250,1250,1250,1242.5,1275,1300,1350,1350,1350,1350,1300,1250,1250,1250,1200,1215,1295,1300,1350,1400,1395,1350,1300,1295,1250,1250,1250,1250,1225,1250,1275,1375,1375,1375,1350,1300,1295,1287,1295,1298.5,1300,1350,1400,1400,1400,1400,1380,1350,1300,1300,1295,1300,1300,1395,1400,1425,1395,1350,1350,1300,1295,1299,1255.5,1298,1300,1350,1400,1400,1425,1400,1350,1350,1325,1349.5,1325,1350,1350,1400,1450,1450,1450,1400,1400,1375,1385,1395,1395,1395
"Ohio",7,,1200,1162.5,1150,1200,1200,1200,1000,1000,1000,1000,899,897,895,950,995,950,975,950,950,929,925,897,937.5,929,940,850,850,875,850,895,885,875,900,850,850,850,875,882,895,900,875,897,995,995,900,1000,950,900,900,900,1000,999.5,995,995,995,975,975,982.5,981,995,1025,1050,1075,1095,1025,1015,1000,1000,1050,1000,1000,1000,1095,1100,1059,1050,1075,1050,1000,980,998.5,975,999,995,1050,1100,1100,1095,1054,1050,1050,1050,1025,1000,1000,1025,1095,1149,1111,1125,1100,1100,1100,1100,1095,1050,1050
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,895,900,900,900,950,950,950,920,925,950,950,950,950,900,850,900,900,900,910,950,949,1000,1050,995,975,1000,1000,999,999,999,1100,1100,1050,1050,1095,1095,1050,1050,1050,1050,1100,1100,1150,1199,1180,1195,1200,1200,1200,1195,1175,1102.5,1180,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1150,1200,1200,1200,1248,1200,1200,1150,1100,1100,1059,1089,1099,1200,1250,1250,1275,1250,1200,1200,1200,1200,1200,1225
"Georgia",9,1037.5,1075,1100,1100,1100,1100,1100,1100,1000,1000,1072.5,1000,1000,1000,1050,1050,1050,1000,1000,1000,995,995,990,975,995,995,990,995,995,995,995,995,975,975,975,975,975,985,995,999,995,1000,1000,1000,995,985,995,995,995,995,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1050,1079.5,1099,1100,1095,1075,1050,1050,1070,1050,1089,1095,1100,1115,1150,1135.5,1150,1150,1150,1150,1150,1145,1189,1195,1200,1239,1250,1250,1265,1250,1250,1250,1250,1245,1250,1250,1295,1310,1335,1350,1350,1325,1300,1325,1329,1325,1336.5
"North Carolina",10,995,975,995,1000,1000,1000,1050,1050,1000,1000,1004,995,995,995,1000,1000,1000,1000,995,999,995,995,995,995,995,1000,1000,1000,1000,1000,995,995,995,995,995,995,999,1000,1000,1050,1049,1050,1050,1001,1000,1000,1000,1000,999,1000,1000,1050,1050,1042,1025,1000,1000,1000,1000,1025,1050,1075,1100,1100,1095,1095,1060,1050,1050,1062.5,1050,1052,1095,1100,1100,1122.5,1145,1150,1145,1146.5,1100,1100,1100,1150,1175,1195,1200,1225,1231,1250,1225,1245,1229.5,1250,1250,1250,1250,1289,1300,1309.5,1325,1300,1300,1300,1325,1339,1350,1345
