"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"California",1,,,,,,,,,,,,,2450,2400,2495,2495,2475,2400,2400,2300,2300,2200,2200,2200,2200,2200,2122,2156.5,2195,2195,2150,2100,2050,2000,2000,2000,2000,1999,2000,1995,2000,2100,2000,2100,2100,2000,2100,2099,2039,2050,2095,2200,2295,2300,2300,2300,2295,2275,2295,2300,2300,2350,2400,2450,2500,2500,2500,2500,2500,2500,2500,2500,2525,2645,2600,2600,2700,2700,2650,2600,2600,2695,2500,2650,2700,2800,2900,2980,3000,3000,3000,2990,2900,2895,2895,2900,2950,2950,2999,3095,3150,3195,3100,3095,3000,3000,3000,3005
"Texas",2,1500,1495,1650,1800,1850,1700,1695,1650,1650,1675,1700,1650,1595,1595,1595,1595,1595,1595,1550,1525,1500,1500,1500,1500,1550,1600,1550,1550,1595,1595,1550,1500,1499,1500,1500,1500,1500,1550,1550,1595,1595,1600,1600,1600,1595,1550,1595,1595,1550,1550,1595,1650,1700,1700,1750,1700,1695,1700,1700,1700,1700,1750,1769,1800,1800,1800,1800,1800,1795,1800,1795,1795,1795,1800,1840,1800,1800,1800,1800,1800,1779,1795,1750,1800,1800,1800,1850,1850,1850,1850,1850,1850,1800,1800,1800,1800,1800,1850,1875,1875,1895,1895,1885,1850,1850,1850,1850,1850
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4691.5,4400,4900,4400,4764,4800,4250,4250,4100,3899,3695,3599,3800,3800
"Florida",4,,,,,,,,,,,,,1900,1900,1950,1995,2000,2000,2000,2000,1950,1900,1850,1850,1925,2000,1950,1950,1995,1950,1900,1900,1900,1900,1850,1800,1900,1920,1950,1900,1895,1995,1900,2000,2000,2100,2100,2000,2000,1975,1995,2000,2050,2100,1997,2000,2000,1950,1925,1900,1950,1900,1900,1975,1975,1990,1995,1950,1950,1995,1999,2000,2000,2075,2000,2000,2000,1980,1995,1999,2000,2039.5,1925,1995,2000,2000,2100,2100,2100,2150,2190,2150,2195,2199,2195,2199,2200,2200,2245,2245,2200,2200,2200,2200,2200,2200,2200,2200
"Illinois",5,2500,2300,2300,2300,2150,2300,2300,2100,2300,2250,2400,2000,2050,2150,2200,2395,2425,2350,2250,2200,2100,2000,2000,2000,2000,2100,2050,2100,2160,2150,2086,1975,1900,1800,1834,1800,1800,1995,1900,2009.5,2045,2100,1977.5,1890,1850,1800,1900,1800,1799,1800,1900,2100,2150,2160,2200,2100,2000,2000,2025,1982,1995,2000,2000,2200,2250,2200,2148.5,1995,1929,1950,1850,1850,1850,1940,2000,2100,2200,2200,2100,1949,1800,1800,1775,1779.5,1800,1900,2001,2200,2239,2252.5,2150,1990,1900,1850,1895,1892.5,1925,2100,2235,2400,2500,2400,2295,2150,2050,2050,2000,2000
"Pennsylvania",6,,,,,,,,,,,,,1650,1700,1800,1800,1800,1700,1700,1700,1600,1695,1795,1795,1800,1800,1800,1800,1800,1850,1800,1700,1700,1650,1600,1600,1800,1800,1850,1975,1950,1897.5,1800,1721,1650,1650,1700,1750,1700,1750,1800,1897.5,1900,1850,1800,1750,1700,1799,1795,1800,1800,1890,1925,1950,1900,1900,1800,1800,1750,1800,1700,1750,1800,1800,1875,1850,1850,1800,1800,1795,1600,1795,1695,1600,1700,1800,1800,1850,1850,1800,1750,1650,1650,1795,1725,1750,1800,1800,1800,1800,1800,1775,1750,1700,1775,1800,1800,1795
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1495,1475,1450,1450,1450,1425,1400,1475,1495,1495,1500,1500,1450,1500,1495,1489,1500,1425,1450,1497,1600,1625,1600,1650,1650,1595,1500,1400,1350,1300,1400,1400,1430,1500,1500,1450,1425,1400,1430,1450,1450,1430,1425,1450,1500,1500,1445,1425,1400,1440,1450,1500,1460,1425,1400
"Michigan",8,,2000,2200,2150,2100,2000,1925,1999,2000,2000,2000,1950,1850,1862.5,1990,2045,2100,2000,2000,1825,1500,1400,1500,1495,1400,1500,1500,1575,1550,1550,1500,1495,1500,1600,1400,1300,1400,1400,1350,1400,1450,1525,1700,1700,1700,1697.5,1650,1600,1600,1575,1600,1795,1800,1800,1850,1900,1850,1800,1800,1800,1800,1800,1800,1800,1850,1900,1875,1900,1850,1800,1850,1850,1800,1800,1825,1862.5,1795,1800,1900,1995,1900,2000,1800,1772.5,1800,1750,1800,1850,1800,1855,1800,1800,1812.5,1700,1695,1600,1600,1645,1700,1800,1800,1812.5,1800,1925,1900,1800,1790,1750
"Georgia",9,,1475,1500,1500,1500,1500,1525,1500,1500,1497,1500,1400,1400,1398.5,1400,1450,1450,1400,1397.5,1395,1385,1350,1300,1300,1300,1300,1300,1325,1350,1350,1300,1300,1300,1295,1295,1275,1300,1300,1300,1300,1300,1350,1300,1317.5,1320,1300,1300,1300,1295,1295,1300,1350,1375,1375,1375,1374.5,1374,1375,1395,1395,1395,1400,1401,1450,1450,1450,1450,1425,1400,1425,1450,1450,1450,1450,1475,1500,1500,1500,1500,1500,1500,1500,1497,1500,1500,1550,1580,1600,1600,1605,1597,1595,1595,1590,1595,1595,1595,1600,1650,1659,1660,1650,1650,1650,1650,1645,1650,1650
"North Carolina",10,,1500,1500,1595,1500,1500,1550,1595,1550,1497.5,1500,1450,1400,1400,1400,1400,1400,1395,1395,1395,1350,1350,1300,1325,1350,1350,1375,1395,1400,1399,1375,1350,1350,1350,1300,1300,1300,1350,1350,1395,1395,1395,1395,1350,1350,1350,1300,1300,1300,1350,1350,1395,1395,1395,1395,1395,1375,1392,1395,1395,1380,1400,1450,1425,1407.5,1400,1400,1400,1400,1400,1400,1400,1445,1450,1495,1495,1475,1495,1495,1450,1450,1475,1449.5,1500,1525,1575,1600,1595,1595,1600,1595,1580,1595,1595,1590,1595,1590,1600,1625,1645,1600,1600,1600,1600,1617.5,1600,1625,1645
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2550,2500,2500,2350,2500,2500,2572.5,2600,2600,2800,2800,2600,2650,2500,2500,2500,2500,2500,2600,2700,2700,2725,2600,2700,2600,2500,2500,2425,2475,2450,2600,2700,2550,2800,2825,2650,2500,2400,2500,2500,2400,2500,2599.5,2625,2800,2800,2900,2600,2500,2400,2400,2400,2400,2450,2500,2600,2650,2700,2700,2600,2500,2500,2400,2500,2497.5,2500
"Virginia",12,,1650,1799,1800,1850,1925,1800,1795,1795,1800,1800,1750,1750,1795,1800,1895,1895,1850,1850,1800,1795,1795,1795,1750,1750,1795,1800,1800,1850,1850,1800,1800,1795,1795,1750,1795,1775,1800,1850,1875,1895,1937.5,1900,1895,1895,1850,1850,1800,1795,1800,1800,1950,1995,2000,1980,1950,1895,1900,1850,1850,1895,1895,1950,2000,2000,2000,2000,1975,1900,1900,1900,1885,1875,1895,1900,1950,1995,2012.5,2000,1950,1900,1950,1895,1900,1900,1900,1995,2000,2042.5,2097.5,2000,1995,1975,1975,1995,1900,1900,1925,1992.5,2100,2100,2100,2075,2000,2000,2000,1995,1950
"Washington",13,,1795,1800,1897.5,1800,1900,1895,1862.5,1895,1850,1725,1650,1650,1700,1750,1795,1750,1750,1750,1700,1697,1695,1650,1650,1650,1695,1700,1700,1695,1750,1700,1695,1695,1650,1625,1600,1600,1677.5,1695,1695,1695,1712.5,1745,1750,1700,1730,1699,1675,1660,1650,1695,1745,1750,1795,1800,1795,1795,1750,1750,1759.5,1752.5,1795,1818,1850,1895,1900,1950,1895,1895,1875,1895,1895,1895,1903,1995,1995,1995,2097.5,2100,2050,2050,2000,2000,2100,2100,2175,2245,2300,2400,2450,2400,2400,2335,2295,2295,2295,2295,2300,2395,2457.5,2495,2495,2495,2400,2300,2300,2300,2300
"Massachusetts",14,,,,,,,,,,,,,,,,,,,,2450,2395,2400,2600,2800,2850,2950,3000,3000,2900,2800,2800,2800,2800,2800,2950,3200,3200,3200,3198,3200,3200,3100,3000,3000,2988,2950,3000,3200,3300,3300,3350,3300,3300,3200,3200,3200,3000,3000,3200,3500,3500,3400,3400,3400,3300,3300,3200,3200,3200,3200,3400,3600,3600,3600,3500,3500,3400,3400,3400,3300,3200,3200,3400,3715,3700,3650,3600,3600,3600,3550,3500,3400,3325,3500,3700,3800,3800,3800,3850,3800,3750,3600,3600,3500,3500,3600,3800,4000
"Indiana",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985,1095,1050,1050,1137.5,1200,1249.5,1262.5,1250,1250,1200,1275,1250,1200,1200,1209,1299,1295,1300,1300,1295,1275,1265,1250,1250,1250,1275,1295,1275,1250,1225,1200,1250,1275,1250,1245,1247.5,1250,1296,1300,1300,1250,1295,1295,1339,1295,1309,1280,1299.5,1300,1350,1350,1395,1375,1375,1350,1395,1395,1350,1325,1345,1395,1445,1445,1445,1407.5,1400,1390,1495,1460,1460,1450,1400
"Arizona",16,,,,,,,,,,,1250,1195,1200,1150,1250,1175,1125,1150,1150,1150,1150,1100,1150,1151,1199,1200,1300,1200,1250,1200,1195,1200,1200,1195,1165,1165,1150,1200,1199,1195,1195,1176,1125,1150,1150,1175,1150,1100,1100,1100,1100,1199,1200,1225,1199,1195,1195,1200,1222.5,1200,1235,1300,1350,1300,1300,1300,1295,1300,1250,1250,1297,1295,1295,1295,1295,1275,1200,1295,1262.5,1250,1250,1200,1250,1300,1350,1436,1499,1495,1450,1450,1450,1395,1395,1400,1400,1400,1472,1500,1550,1550,1500,1550,1550,1500,1500,1550,1512.5,1625
"Tennessee",17,,,,,,,,,,,,,1500,1467.5,1500,1500,1500,1500,1495,1400,1450,1495,1500,1550,1495,1600,1500,1500,1550,1500,1450,1495,1450,1462.5,1350,1350,1350,1395,1395,1275,1372.5,1450,1395,1345,1350,1325,1375,1395,1275,1295,1295,1350,1395,1395,1400,1350,1299,1350,1395,1395,1397.5,1395,1395,1395,1397.5,1450,1445,1395,1350,1375,1395,1350,1350,1450,1450,1495,1499,1545,1500,1457.5,1400,1450,1450,1425,1440,1450,1450,1500,1500,1550,1500,1500,1495,1500,1530,1500,1520,1550,1600,1599,1600,1595,1587.5,1599.5,1595,1595,1595,1590
"Missouri",18,,,,,,,,,,,,,,,,,,,,,,,,,1450,1445,1400,1350,1400,1475,1400,1375,1392.5,1295,1275,1195,1195,1200,1150,1195,1100,1200,1150,1095,1185,1100,1100,1082,1000,1000,1050,1200,1200,1200,1200,1200,1200,1195,1050,1200,1150,1150,1150,1200,1250,1200,1200,1200,1150,1150,1100,1100,1162.5,1200,1200,1200,1200,1250,1200,1200,1295,1200,1320,1100,1193.5,1175,1200,1200,1280,1250,1245,1300,1250,1250,1275,1250,1250,1250,1295,1250,1299,1300,1285,1297.5,1300,1300,1295,1250
