"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"West Virginia",36,,,,,,,,,,,,,,,1497.5,1500,1500,1497.5,1495,1500,1425,1400,1400,1275,1350,1400,1400,1412.5,1400,1547.5,1525,1400,1372.5,1395,1395,1350,1400,1350,1325,1500,1497.5,1450,1475,1450,1350,1395,1350,1400,1400,1300,1300,1375,1350,1350,1372.5,1495,1325,1475,1512.5,1462.5,1450,1350,1350,1350,1550,1500,1300,1350,1300,1295,1275,1400,1350,1400,1400,1200,1225,1200,1400,1400,1400,1265,1225,1100,1250,1300,1250,1200,1255,1350,1275,1300,1200,1200,1200,1250,1300,1250,1300,1300,1250,1200,1300,1350,1250,1250,1250,1200
"Nebraska",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1300,1300,1375,1295,1200,1200,1150,1300,1300,1295,1272.5,1295,1350,1225,1395,1395,1300,1275,1450,1397.5,1300,1285,1250,1395,1300,1350,1395,1395,1300,1300,1337.5,1295,1300,1362.5,1337.5,1365,1475,1342.5,1300,1250,1200,1200,1225,1300,1395,1400,1400,1395,1395,1337.5,1350,1350,1350,1350,1350,1395,1397.5,1495,1450,1397.5,1450,1400,1344,1300,1390,1400,1350
"Idaho",38,,,,,,,,,,,,1095,1050,1172.5,1125,1100,1000,1000,1095,1050,1095,1095,1000,995,1012.5,1050,1050,1062.5,1100,1125,1100,1100,1100,1100,1120,1095,1095,1125,1200,1200,1195,1150,1150,1195,1195,1195,1195,1150,1185,1195,1195,1250,1275,1250,1250,1200,1237.5,1250,1195,1195,1200,1225,1325,1250,1250,1250,1295,1200,1195,1200,1200,1200,1280,1275,1350,1295,1375,1325,1350,1300,1375,1300,1295,1350,1350,1425,1400,1395,1400,1450,1400,1425,1450,1400,1475,1495,1495,1495,1500,1500,1595,1595,1595,1550,1550,1550,1550,1585
"Hawaii",39,,,,,,,,,,,,,2425,2800,2900,2800,2800,2900,2725,2795,2800,2600,2575,2600,2595,2600,2600,2600,2700,2695,2700,2772.5,2700,2725,2500,2500,2700,2600,2800,2800,2900,2700,2600,2700,2700,2600,2600,2500,2500,2500,2565,2700,3000,3000,2785,2700,2800,2800,2900,2825,2875,2850,3000,3125,3125,3050,2995,3000,3200,3200,3200,3000,2899.5,3100,3100,3000,3300,3100,3000,3050,3000,2995,3000,2900,3100,3200,3200,3200,3197.5,3150,3000,3000,3000,2955.5,2950,2900,2900,2997,3000,3000,3072,3162.5,3000,2950,2947.5,2900,2995,2955.5
"New Hampshire",40,,,,,,,,,,,2000,1850,1850,2000,2000,1900,1975,2050,1950,1800,1797.5,1797.5,1825,1975,1725,1850,2000,2000,2000,2000,2000,2000,1995,2000,2000,2000,2000,1900,2000,2100,2100,2050,2000,1995,1895,1800,1925,1825,1800,1772.5,1850,2000,2000,2100,1995,1750,1875,1800,1825,1600,1600,1800,1995,2000,2000,2000,1950,2000,1900,1899,1900,1800,1800,1800,1970,1897.5,1900,1847.5,1990,1800,1800,1900,2000,1722.5,1800,1800,1945,1637.5,1900,1850,2000,2000,2000,2000,2000,1800,1800,1800,1900,1812.5,2000,2000,1900,1995,2100,2000,1950,1995
"Rhode Island",41,,,,,,,,,,,,,,,,,,,,,2000,2000,1912.5,2000,2000,1950,2000,2000,2000,2000,2000,2000,2000,1972.5,2100,2100,2200,2125,2100,2000,2000,2000,1900,1825,1900,2000,1997.5,1895,1900,1899,1900,2000,1950,1850,1800,1800,1900,1950,1900,2000,2062.5,2100,2075,2000,2000,2000,1950,1900,2000,2000,2000,2200,2200,2200,2200,2000,2000,2000,1950,2200,2000,2200,2255,2200,2300,2375,2200,2300,2200,2300,2300,2300,2300,2300,2300,2300,2300,2400,2400,2400,2300,2225,2250,2250,2300,2300,2300,2300
"Montana",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1397.5,1400,1395,1395,1300,1300,1200,1225,1337.5,1295,1197.5,1197.5,1195,1350,1395,1325,1300,1350,1350,1300,1350,1350,1400,1397.5,1395,1400,1397.5,1350,1395,1362.5,1362.5,1295,1312.5,1395,1395,1325,1400,1500,1495,1450,1350,1400,1462.5,1400,1450,1395,1400,1595,1685,1595,1495,1500,1450,1417.5,1400,1400,1400,1400,1495,1550,1600,1800,1750,1550,1500,1500,1412.5,1400,1450
"Delaware",43,,,,,,,,,,,,1650,1600,1600,1600,1600,1500,1600,1650,1600,1690,1665,1700,1675,1600,1525,1650,1650,1600,1700,1650,1650,1650,1600,1650,1695,1700,1650,1725,1750,1799,1800,1799,1750,1725,1700,1700,1700,1500,1475,1500,1725,1625,1700,1700,1712.5,1747.5,1700,1700,1700,1750,1662.5,1700,1750,1750,1750,1725,1725,1650,1650,1700,1700,1762.5,1700,1750,1725,1749,1795,1775,1795,1700,1743.5,1695,1655,1637.5,1625,1700,1700,1700,1700,1700,1704,1704,1700,1700,1672.5,1669.5,1700,1650,1700,1788.5,1800,1800,1700,1750,1695,1797.5,1797.5
"South Dakota",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,1300,1300,1325,1395,1425,1400,1395,1350,1350,1400,1400,1320,1400,1500,1500,1500,1400,1350,1375,1400,1300,1350,1372.5,1375
"Alaska",45,,,,,,,,,,,,,,,,,,2125,2200,2200,2000,1925,2000,1950,2100,2095,2047.5,2065,2100,2047.5,1850,2050,2250,1935,1850,1850,1970,1800,2035,2200,2262.5,2290,2150,2162.5,2000,1950,1900,1800,1800,1800,1800,2000,2100,2092.5,2200,2100,2050,2000,2100,2250,2100,2086.5,1962.5,2300,2250,2250,2197.5,2100,2200,2125,2100,2150,2075,2150,2200,2195,1945,2140,2200,2200,1950,1920,1950,1900,1895,1845,1997.5,2000,2097.5,2100,2000,2050,2000,1995,2025,2100,2000,2100,2160,2100,2100,2100,2100,2097.5,2000,1995,2000,1995
"North Dakota",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1572.5,1547.5,1497.5,1495,1395,1495,1395,1395,1495,1395,1461,1547.5,1595,1595,1595,1595,1400,1525,1400,1400,1495,1495,1590
"Vermont",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3275,3200,3200,2800,2800,2800,2800,2747.5,2800,3200,3082.5,2795,2600,2825
"District of Columbia",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3075,3075,3050,3225,2997,2825,2700,2675,2925,2847.5,2925,3000,3500,3500,3300,3150,2900,2825,3000,3125,3497,3000,3482.5,3300,3482.5,3500,3200,3350,3175,3000,3095,3050,3500,3600,3500,3474.5,3700,3922.5,3600,3500,3500,3350,3300,3200,3000,3500,3600,3950,3865,3750,3600,3500,3337.5,3200,3300
"Wyoming",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1300,1250,1285,1282.5,1275,1300,1300,1275,1250,1250,1162.5,1200,1200,1200,1225,1200,1300,1200,1200,1126.5,1179,1200,1200
