"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Maryland",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697.5,2800,2625,2650,2950,3200,3110,2800,3197.5,3275,3337.5,3200,3400,3499,3000,3000,2770,2850,2790,2724.5,2700,2550,2700,2995,3175,3176.5
"Minnesota",14,,,,,,,,,,,,,,,,,,,,,1625,1625,1604.5,1647.5,1560,1650,1695,1685,1750,1995,1800,1892.5,1695,1695,1797.5,1750,1800,1725,1785,1995,1800,1895,1825,1797.5,1895,2000,1950,1950,1900,1865,1825,1900,1930,1800,1800,1800,1795,1995,2000,1995,1755,2000,2000,1995,1900,1895,1900,1900,1995,2072.5,2010,1962.5,2057.5,2000,2000,1995,2000,1875,2000,1995,1800,1900,1900,2100,2195,1950,1925,1875,1950,2000,1995,1925,2100,2295,2295,2150,2100,1995,2020,2182.5,2100,2096,2000,1895,1999.5,2300,2300,2195
"Colorado",15,,,,,,,,,,,,,,,,1700,1795,1795,1892.5,1895,1800,1750,1700,1700,1750,1895,2097.5,1995,1990,1895,1800,1795,1800,1900,1850,2075,2085,1950,1950,1862.5,1800,1750,1795,1795,1750,2000,1900,1995,1995,1950,1995,1900,1995,1950,1950,1950,1950,1975,1975,2000,2100,2195,2125,2150,2150,2125,2200,2190,2097.5,2122.5,2200,2300,2300,2250,2200,2175,2295,2250,2450,2095,2150,2400,2195,2250,2300,2250,2300,2400,2300,2250,2290,2299,2395,2400,2370,2400,2400,2400,2490,2400,2400,2450,2385,2395,2500,2500,2495,2500
"Alabama",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672.5,1795,1625,1800,1825,1800,1800,1890,1850,1950,2000,1995,1975,2000,2000,1900,1700,1895,1800,1800,1800,1950,1850,1925,1875
"South Carolina",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1912.5,1900,1900,1920,1900,1895,1850,1900,1895,1922.5,1995,2100,2095,2100,2000,2000,2000,2000,2000,2200
"Oklahoma",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1100,1150,1100,1112.5,1085,1095,997.5,1000,1100,1097.5,1200,1095,1200,1100,1050,1050,1025,1072.5,1095,1000,1025
"Connecticut",19,,,,,,,,,,,,,,,,,,1600,1550,1500,1500,1550,1572.5,1725,1600,1650,1700,1950,2000,1800,1695,1600,1500,1400,1350,1400,1550,1600,1600,1595,1600,1650,1500,1400,1300,1250,1250,1250,1300,1300,1350,1350,1325,1475,1400,1350,1400,1350,1300,1350,1400,1400,1400,1400,1437.5,1475,1500,1400,1400,1350,1350,1350,1395,1400,1500,1500,1500,1650,1450,1387.5,1450,1350,1450,1400,1450,1500,1500,1575,1600,1700,1695,1600,1500,1500,1500,1500,1590,1550,1550,1650,1700,1700,1650,1550,1500,1600,1600,1600
"Kansas",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1150,1350,1400,1350,1299,1295,1300,1250,1200,1150,1200,1200,1300,1327.5,1400,1400,1347.5,1300,1300,1285,1295,1295,1312.5,1300,1350,1350,1395
"Utah",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.5,1695,1695,1617.5,1600,1595,1600,1650,1695,1695,1695,1750,1800,1800,1825,1795,1750,1750,1750,1785,1795,1800,1895,1900,1872.5,1800,1920.5,1895,1875,1837,1850,1863
"Nevada",22,,,,,,1900,2000,1937.5,2195,2097.5,2100,1850,1800,1800,1895,1800,1850,1850,1872.5,1850,1895,1950,1950,1900,1800,1850,1750,1699.5,1750,1795,1795,1795,1700,1700,1695,1697,1695,1700,1700,1700,1700,1775,1795,1800,1795,1750,1725,1700,1750,1750,1750,1795,1795,1795,1800,1800,1795,1795,1800,1795,1795,1800,1815,1850,1972.5,1895,1895,1900,1850,1827.5,1875,1895,1900,1920,1900,1950,2000,1895,1995,1950,1932.5,2000,1895,1900,1995,2000,2100,2195,2100,2095,2100,2000,2000,2080,2095,2100,2095,2195,2295,2250,2200,2200,2200,2200,2222.5,2245,2250,2295
"Idaho",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1195,1250,1100,1100,1000,1095,1120,1200,1137.5,1225,1350,1300,1350,1350,1325,1299.5,1287.5
"Hawaii",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3400,3250,3400,3450,3250,3350,3000,3100,3000,2925,2800,2800,2685,2550,2675,3000,2800,3225,3400,3275,3275,3000,3315,2961,3100,3000,2985,3000,2850,2550,2600,2850,2900,2500,2690,3000,2800,3000,2850,2682,2650,2700,2669.5,2675,2900,2850,2775,2800,2600,2712.5,2600,2595,2597.5,2500,2632,2650,2700,2667,2600,2600,2625,2500,2500,2600,2550,2682.5
"Maine",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1800,1837.5,1965,2297.5,2300,2197.5,1950,1850,1887.5,1900,1750
"New Hampshire",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1550,1492.5,1440,1500,1550,1550,1600,1550,1700,1800,1737.5,1600,1600,1650,1600,1500
"Rhode Island",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2500,2300,2100,2047.5,2000,2000,2200,2197.5,2000,2200,2275,2500,2400,2400,2100,2097.5,2000,1900,2200,2250,2250,2375,2200
"Alaska",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1495,1650,1550,1650,1650,1650,1600,1795,1797.5,1750,1725,1595,1500,1497.5,1600,1595,1712.5,1700,1700,1700,1750,1800,1850,1850,1800,1795,1800,1800,1600
